GISJOIN,POP20,BASENAME,State,NAME,STATE,url
G06084816,53915,West Sacramento,CA,West Sacramento city,California,https://www.cityofwestsacramento.org/
G06014890,53909,Colton,CA,Colton city,California,https://www.ci.colton.ca.us/
G06067112,53898,San Jacinto,CA,San Jacinto city,California,https://www.sanjacintoca.gov/
G27043252,53781,Minnetonka,MN,Minnetonka city,Minnesota,https://www.minnetonkamn.gov/
G06055618,53733,Paramount,CA,Paramount city,California,http://www.paramountcity.com/
G48028068,53695,Galveston,TX,Galveston city,Texas,https://www.galvestontx.gov/
G04010530,53658,Casa Grande,AZ,Casa Grande city,Arizona,https://casagrandeaz.gov/
G12007525,53644,Bonita Springs,FL,Bonita Springs city,Florida,http://www.cityofbonitasprings.org/
G53036745,53526,Lacey,WA,Lacey city,Washington,http://www.ci.lacey.wa.us/
G27018188,53494,Edina,MN,Edina city,Minnesota,https://www.edinamn.gov/
G30008950,53293,Bozeman,MT,Bozeman city,Montana,https://www.bozeman.net/
G06052582,53225,Novato,CA,Novato city,California,https://www.novato.org/
G31019595,53131,Grand Island,NE,Grand Island city,Nebraska,https://www.grand-island.com/
G37035200,53114,Kannapolis,NC,Kannapolis city,North Carolina,https://www.kannapolisnc.gov/
G12056975,53093,Pinellas Park,FL,Pinellas Park city,Florida,https://www.pinellas-park.com/
G47069420,53070,Smyrna,TN,Smyrna town,Tennessee,https://www.townofsmyrna.org/
G25040710,53059,Methuen Town,MA,Methuen Town city,Massachusetts,https://www.cityofmethuen.net/
G06004758,53036,Beaumont,CA,Beaumont city,California,https://www.beaumontca.gov/
G34079610,52912,West New York,NJ,West New York town,New Jersey,https://www.westnewyorknj.org/
G49045860,52778,Logan,UT,Logan city,Utah,https://www.loganutah.org/
G17053234,52736,Normal,IL,Normal town,Illinois,https://www.normal.org/
G26005920,52721,Battle Creek,MI,Battle Creek city,Michigan,https://www.battlecreekmi.gov/
G55040775,52680,La Crosse,WI,La Crosse city,Wisconsin,https://www.cityoflacrosse.org/
G39025256,52656,Elyria,OH,Elyria city,Ohio,https://www.cityofelyria.org/
G06083668,52590,Watsonville,CA,Watsonville city,California,https://cityofwatsonville.org/
G06030014,52558,Glendora,CA,Glendora city,California,https://www.cityofglendora.org/
G29024778,52533,Florissant,MO,Florissant city,Missouri,https://www.florissantmo.com/
G17035411,52530,Hoffman Estates,IL,Hoffman Estates village,Illinois,https://www.hoffmanestates.org/
G06000947,52176,Aliso Viejo,CA,Aliso Viejo city,California,https://avcity.org/
G53008850,52066,Burien,WA,Burien city,Washington,https://www.burienwa.gov/
G04044270,51908,Marana,AZ,Marana town,Arizona,https://www.maranaaz.gov/
G48072392,51898,Texas City,TX,Texas City city,Texas,http://www.texas-city-tx.org/
G06057526,51824,Placentia,CA,Placentia city,California,https://www.placentia.org/
G51035624,51814,Harrisonburg,VA,Harrisonburg city,Virginia,https://www.harrisonburgva.gov/
G16082810,51807,Twin Falls,ID,Twin Falls city,Idaho,https://www.tfid.org/
G29037592,51762,Joplin,MO,Joplin city,Missouri,https://www.joplinmo.org/
G13024768,51683,Dunwoody,GA,Dunwoody city,Georgia,https://www.dunwoodyga.gov/
G06012048,51493,Cathedral City,CA,Cathedral City city,California,https://www.cathedralcity.gov/
G06018394,51428,Delano,CA,Delano city,California,https://www.cityofdelano.org/
G36075484,51401,Troy,NY,Troy city,New York,http://www.troyny.gov/
G47016420,51324,Collierville,TN,Collierville town,Tennessee,https://collierville.com/
G40023950,51308,Enid,OK,Enid city,Oklahoma,https://www.enid.org/
G06016742,51268,Covina,CA,Covina city,California,https://covinaca.gov/
G06062896,51185,Rosemead,CA,Rosemead city,California,http://www.cityofrosemead.org/
G06055184,51163,Palm Desert,CA,Palm Desert city,California,https://www.cityofpalmdesert.org/
G39019778,51114,Cuyahoga Falls,OH,Cuyahoga Falls city,Ohio,https://www.cityofcf.com/
G18049932,51063,Mishawaka,IN,Mishawaka city,Indiana,http://mishawaka.in.gov/
G49020120,51017,Draper,UT,Draper city,Utah,https://www.draper.ut.us/
G39049840,50987,Middletown,OH,Middletown city,Ohio,https://www.cityofmiddletown.org/
G39041664,50942,Lakewood,OH,Lakewood city,Ohio,http://www.onelakewood.com/
G45070270,50915,Summerville,SC,Summerville town,South Carolina,https://www.summervillesc.gov/
G49053230,50637,Murray,UT,Murray city,Utah,https://www.murray.utah.gov/
G48030644,50631,Grapevine,TX,Grapevine city,Texas,https://www.grapevinetexas.gov/
G09047515,50558,Milford city (balance),CT,Milford city (balance),Connecticut,https://www.ci.milford.ct.us/
G18014734,50474,Columbus,IN,Columbus city,Indiana,https://www.columbus.in.gov/
G17020591,50247,Downers Grove,IL,Downers Grove village,Illinois,http://www.downers.us/
G37044220,50193,Mooresville,NC,Mooresville town,North Carolina,https://www.mooresvillenc.gov/
G06017750,50151,Cypress,CA,Cypress city,California,https://www.cypressca.org/
G42032800,50099,Harrisburg,PA,Harrisburg city,Pennsylvania,http://harrisburgpa.gov/
G27057220,50010,St. Louis Park,MN,St. Louis Park city,Minnesota,https://www.stlouispark.org/
G47070580,50005,Spring Hill,TN,Spring Hill city,Tennessee,https://www.springhilltn.org/
G06003386,50000,Azusa,CA,Azusa city,California,https://www.ci.azusa.ca.us/
G29013600,49999,Chesterfield,MO,Chesterfield city,Missouri,https://www.chesterfield.mo.us/
G39054040,49934,Newark,OH,Newark city,Ohio,http://www.newarkohio.net/
G55072975,49929,Sheboygan,WI,Sheboygan city,Wisconsin,https://www.sheboyganwi.gov/
G48007132,49928,Bedford,TX,Bedford city,Texas,https://bedfordtx.gov/
G06041474,49757,Lincoln,CA,Lincoln city,California,http://www.lincolnca.gov/
G39025704,49692,Euclid,OH,Euclid city,Ohio,http://www.cityofeuclid.com/
G06012552,49578,Cerritos,CA,Cerritos city,California,http://www.cerritos.us/
G28006220,49449,Biloxi,MS,Biloxi city,Mississippi,https://biloxi.ms.us/
G18038358,49447,Jeffersonville,IN,Jeffersonville city,Indiana,https://cityofjeff.net/
G18042426,49370,Lawrence,IN,Lawrence city,Indiana,http://www.cityoflawrence.org/
G39022694,49328,Dublin,OH,Dublin city,Ohio,https://dublinohiousa.gov/
G06012524,49302,Ceres,CA,Ceres city,California,https://www.ci.ceres.ca.us/
G12014250,49248,Coral Gables,FL,Coral Gables city,Florida,https://www.coralgables.com/
G12078275,49219,Winter Haven,FL,Winter Haven city,Florida,https://www.mywinterhaven.com/
G48013492,49148,Cedar Hill,TX,Cedar Hill city,Texas,https://cedarhilltx.com/
G25021990,49075,Everett,MA,Everett city,Massachusetts,http://www.cityofeverett.com/
G25003690,48916,Barnstable Town,MA,Barnstable Town city,Massachusetts,https://town.barnstable.ma.us/
G26065560,48891,Portage,MI,Portage city,Michigan,https://www.portagemi.gov/
G54014600,48864,Charleston,WV,Charleston city,West Virginia,https://charlestonwv.gov/
G06058520,48841,Poway,CA,Poway city,California,https://poway.org/
G12071900,48789,Titusville,FL,Titusville city,Florida,https://www.titusville.com/
G28031020,48730,Hattiesburg,MS,Hattiesburg city,Mississippi,http://www.hattiesburgms.com/
G17029938,48705,Glenview,IL,Glenview village,Illinois,https://www.glenview.il.us/
G36051055,48671,Niagara Falls,NY,Niagara Falls city,New York,https://niagarafallsusa.org/
