GISJOIN,POP20,BASENAME,State,NAME,STATE,url
G36051000,8804190,New York,NY,New York city,New York,https://www.nyc.gov/
G06044000,3898747,Los Angeles,CA,Los Angeles city,California,https://www.lacity.org/
G17014000,2746388,Chicago,IL,Chicago city,Illinois,https://www.chicago.gov/
G48035000,2304580,Houston,TX,Houston city,Texas,http://www.houstontx.gov/
G04055000,1608139,Phoenix,AZ,Phoenix city,Arizona,https://www.phoenix.gov/
G42060000,1603797,Philadelphia,PA,Philadelphia city,Pennsylvania,https://www.phila.gov/
G48065000,1434625,San Antonio,TX,San Antonio city,Texas,https://www.sanantonio.gov/
G06066000,1386932,San Diego,CA,San Diego city,California,https://www.sandiego.gov/
G48019000,1304379,Dallas,TX,Dallas city,Texas,https://dallascityhall.com/
G06068000,1013240,San Jose,CA,San Jose city,California,https://www.sanjoseca.gov/
G48005000,961855,Austin,TX,Austin city,Texas,http://www.austintexas.gov/
G12035000,949611,Jacksonville,FL,Jacksonville city,Florida,https://www.coj.net/
G48027000,918915,Fort Worth,TX,Fort Worth city,Texas,https://www.fortworthtexas.gov/
G39018000,905748,Columbus,OH,Columbus city,Ohio,https://www.columbus.gov/
G18036003,887642,Indianapolis city (balance),IN,Indianapolis city (balance),Indiana,https://www.indy.gov/
G37012000,874579,Charlotte,NC,Charlotte city,North Carolina,https://charlottenc.gov/
G06067000,873965,San Francisco,CA,San Francisco city,California,https://sf.gov/
G53063000,737015,Seattle,WA,Seattle city,Washington,https://www.seattle.gov/
G08020000,715522,Denver,CO,Denver city,Colorado,https://denvergov.org/
G11050000,689545,Washington,,Washington city,District of Columbia,https://dc.gov/
G47052006,689447,Nashville-Davidson metropolitan government (balance),TN,Nashville-Davidson metropolitan government (balance),Tennessee,https://www.nashville.gov/
G40055000,681054,Oklahoma City,OK,Oklahoma City city,Oklahoma,https://www.okc.gov/
G48024000,678815,El Paso,TX,El Paso city,Texas,https://www.elpasotexas.gov/
G25007000,675647,Boston,MA,Boston city,Massachusetts,https://www.boston.gov/
G41059000,652503,Portland,OR,Portland city,Oregon,https://www.portland.gov/
G32040000,641903,Las Vegas,NV,Las Vegas city,Nevada,https://www.lasvegasnevada.gov/
G26022000,639111,Detroit,MI,Detroit city,Michigan,https://detroitmi.gov/
G47048000,633104,Memphis,TN,Memphis city,Tennessee,https://www.memphistn.gov/
G24004000,585708,Baltimore,MD,Baltimore city,Maryland,https://www.baltimorecity.gov/
G55053000,577222,Milwaukee,WI,Milwaukee city,Wisconsin,https://city.milwaukee.gov/
G35002000,564559,Albuquerque,NM,Albuquerque city,New Mexico,https://www.cabq.gov/
G04077000,542629,Tucson,AZ,Tucson city,Arizona,https://www.tucsonaz.gov/
G06027000,542107,Fresno,CA,Fresno city,California,https://www.fresno.gov/
G06064000,524943,Sacramento,CA,Sacramento city,California,https://www.cityofsacramento.org/
G29038000,508090,Kansas City,MO,Kansas City city,Missouri,https://www.kcmo.gov/
G04046000,504258,Mesa,AZ,Mesa city,Arizona,https://www.mesaaz.gov/
G13004000,498715,Atlanta,GA,Atlanta city,Georgia,https://www.atlantaga.gov/
G31037000,486051,Omaha,NE,Omaha city,Nebraska,https://www.cityofomaha.org/
G08016000,478961,Colorado Springs,CO,Colorado Springs city,Colorado,https://coloradosprings.gov/
G37055000,467665,Raleigh,NC,Raleigh city,North Carolina,https://raleighnc.gov/
G06043000,466742,Long Beach,CA,Long Beach city,California,http://www.longbeach.gov/
G51082000,459470,Virginia Beach,VA,Virginia Beach city,Virginia,https://www.vbgov.com/
G12045000,442241,Miami,FL,Miami city,Florida,https://www.miamigov.com/
G06053000,440646,Oakland,CA,Oakland city,California,https://www.oaklandca.gov/
G27043000,429954,Minneapolis,MN,Minneapolis city,Minnesota,https://www.minneapolismn.gov/
G40075000,413066,Tulsa,OK,Tulsa city,Oklahoma,https://www.cityoftulsa.org/
G06003526,403455,Bakersfield,CA,Bakersfield city,California,https://bakersfieldcity.us/
G20079000,397532,Wichita,KS,Wichita city,Kansas,https://www.wichita.gov/
G48004000,394266,Arlington,TX,Arlington city,Texas,https://www.arlingtontx.gov/
G21048006,597337,Louisville/Jefferson County metro government (balance),KY,Louisville/Jefferson County metro government (balance),Kentucky,https://louisvilleky.gov/
G08004000,386261,Aurora,CO,Aurora city,Colorado,https://www.auroragov.org/
G12071000,384959,Tampa,FL,Tampa city,Florida,https://tampagov.net/
G22055000,383997,New Orleans,LA,New Orleans city,Louisiana,https://nola.gov/
G39016000,372624,Cleveland,OH,Cleveland city,Ohio,http://city.cleveland.oh.us/
G06002000,346824,Anaheim,CA,Anaheim city,California,https://www.anaheim.net/
G21046027,322570,Lexington-Fayette,KY,Lexington-Fayette urban county,Kentucky,https://www.lexingtonky.gov/
G06075000,320804,Stockton,CA,Stockton city,California,http://www.stocktonca.gov/
G48017000,317863,Corpus Christi,TX,Corpus Christi city,Texas,https://www.cctexas.com/
G32031900,317610,Henderson,NV,Henderson city,Nevada,https://cityofhenderson.com/
G06062000,314998,Riverside,CA,Riverside city,California,https://riversideca.gov/
G34051000,311549,Newark,NJ,Newark city,New Jersey,https://www.newarknj.gov/
G27058000,311527,St. Paul,MN,St. Paul city,Minnesota,https://www.stpaul.gov/
G06069000,310227,Santa Ana,CA,Santa Ana city,California,https://www.santa-ana.org/
G39015000,309317,Cincinnati,OH,Cincinnati city,Ohio,https://www.cincinnati-oh.gov/
G06036770,307670,Irvine,CA,Irvine city,California,https://www.cityofirvine.org/
G12053000,307573,Orlando,FL,Orlando city,Florida,https://www.orlando.gov/
G42061000,302971,Pittsburgh,PA,Pittsburgh city,Pennsylvania,https://pittsburghpa.gov/
G29065000,301578,St. Louis,MO,St. Louis city,Missouri,https://www.stlouis-mo.gov/
G37028000,299035,Greensboro,NC,Greensboro city,North Carolina,https://www.greensboro-nc.gov/
G34036000,292449,Jersey City,NJ,Jersey City city,New Jersey,https://jerseycitynj.gov/
G02003000,291247,Anchorage,AK,Anchorage municipality,Alaska,https://www.muni.org/
G31028000,291082,Lincoln,NE,Lincoln city,Nebraska,https://www.lincoln.ne.gov/
G48058016,285494,Plano,TX,Plano city,Texas,https://www.plano.gov/
G37019000,283506,Durham,NC,Durham city,North Carolina,https://durhamnc.gov/
G36011000,278349,Buffalo,NY,Buffalo city,New York,http://www.buffalony.gov/
G04012000,275987,Chandler,AZ,Chandler city,Arizona,https://www.chandleraz.gov/
G06013392,275487,Chula Vista,CA,Chula Vista city,California,https://www.chulavistaca.gov/
G39077000,270871,Toledo,OH,Toledo city,Ohio,https://toledo.oh.gov/
G55048000,269840,Madison,WI,Madison city,Wisconsin,https://www.cityofmadison.com/
G04027400,267918,Gilbert,AZ,Gilbert town,Arizona,https://www.gilbertaz.gov/
G32060600,264165,Reno,NV,Reno city,Nevada,https://www.reno.gov/
G18025000,263886,Fort Wayne,IN,Fort Wayne city,Indiana,https://www.cityoffortwayne.org/
G32051800,262527,North Las Vegas,NV,North Las Vegas city,Nevada,http://www.cityofnorthlasvegas.com/
G12063000,258308,St. Petersburg,FL,St. Petersburg city,Florida,https://www.stpete.org/
G48045000,257141,Lubbock,TX,Lubbock city,Texas,https://ci.lubbock.tx.us/
G48037000,256684,Irving,TX,Irving city,Texas,https://www.cityofirving.org/
G48041464,255205,Laredo,TX,Laredo city,Texas,http://www.cityoflaredo.com/
G37075000,249545,Winston-Salem,NC,Winston-Salem city,North Carolina,https://www.cityofws.org/
G51016000,249422,Chesapeake,VA,Chesapeake city,Virginia,https://www.cityofchesapeake.net/
G04027820,248325,Glendale,AZ,Glendale city,Arizona,https://www.glendaleaz.com/
G48029000,246018,Garland,TX,Garland city,Texas,https://www.garlandtx.gov/
G04065000,241361,Scottsdale,AZ,Scottsdale city,Arizona,https://www.scottsdaleaz.gov/
G51057000,238005,Norfolk,VA,Norfolk city,Virginia,https://www.norfolk.gov/
G16008830,235684,Boise City,ID,Boise City city,Idaho,https://www.cityofboise.org/
G06026000,230504,Fremont,CA,Fremont city,California,https://www.fremont.gov/
G53067000,228989,Spokane,WA,Spokane city,Washington,https://my.spokanecity.org/
G06069088,228673,Santa Clarita,CA,Santa Clarita city,California,https://www.santa-clarita.com/
G22005000,227470,Baton Rouge,LA,Baton Rouge city,Louisiana,https://www.brla.gov/
G51067000,226610,Richmond,VA,Richmond city,Virginia,http://www.richmondgov.com/
G12030000,223109,Hialeah,FL,Hialeah city,Florida,https://www.hialeahfl.gov/
G06065000,222101,San Bernardino,CA,San Bernardino city,California,http://www.ci.san-bernardino.ca.us/
G53070000,219346,Tacoma,WA,Tacoma city,Washington,https://www.cityoftacoma.org/
G06048354,218464,Modesto,CA,Modesto city,California,https://www.modestogov.com/
G01037000,215006,Huntsville,AL,Huntsville city,Alabama,https://www.huntsvilleal.gov/
G19021000,214133,Des Moines,IA,Des Moines city,Iowa,https://www.dsm.city/
G36084000,211569,Yonkers,NY,Yonkers city,New York,https://www.yonkersny.gov/
G36063000,211328,Rochester,NY,Rochester city,New York,https://www.cityofrochester.gov/
G06049270,208634,Moreno Valley,CA,Moreno Valley city,California,http://www.moval.org/
G37022920,208501,Fayetteville,NC,Fayetteville city,North Carolina,https://www.fayettevillenc.gov/
G06024680,208393,Fontana,CA,Fontana city,California,https://www.fontana.org/
G13019000,206922,Columbus,GA,Columbus city,Georgia,https://www.columbusga.gov/
G25082000,206518,Worcester,MA,Worcester city,Massachusetts,http://www.worcesterma.gov/
G12058715,204851,Port St. Lucie,FL,Port St. Lucie city,Florida,https://www.cityofpsl.com/
G05041000,202591,Little Rock,AR,Little Rock city,Arkansas,https://www.littlerock.gov/
G13004204,202081,Augusta-Richmond County consolidated government (balance),GA,Augusta-Richmond County consolidated government (balance),Georgia,https://www.augustaga.gov/
G06054652,202063,Oxnard,CA,Oxnard city,California,https://www.oxnard.org/
G01007000,200733,Birmingham,AL,Birmingham city,Alabama,https://www.birminghamal.gov/
G01051000,200603,Montgomery,AL,Montgomery city,Alabama,https://www.montgomeryal.gov/
G48027684,200509,Frisco,TX,Frisco city,Texas,https://friscotexas.gov/
G48003000,200393,Amarillo,TX,Amarillo city,Texas,https://www.amarillo.gov/
G49067000,199723,Salt Lake City,UT,Salt Lake City city,Utah,https://www.slc.gov/
G26034000,198917,Grand Rapids,MI,Grand Rapids city,Michigan,https://www.grandrapidsmi.gov/
G06036000,198711,Huntington Beach,CA,Huntington Beach city,California,https://www.huntingtonbeachca.gov/
G20053775,197238,Overland Park,KS,Overland Park city,Kansas,https://www.opkansas.org/
G06030000,196543,Glendale,CA,Glendale city,California,https://www.glendaleca.gov/
G12070600,196169,Tallahassee,FL,Tallahassee city,Florida,https://talgov.com/
G48030464,196100,Grand Prairie,TX,Grand Prairie city,Texas,https://www.gptx.org/
G48045744,195308,McKinney,TX,McKinney city,Texas,https://www.mckinneytexas.org/
G12010275,194016,Cape Coral,FL,Cape Coral city,Florida,https://www.capecoral.net/
G46059020,192517,Sioux Falls,SD,Sioux Falls city,South Dakota,https://www.siouxfalls.org/
G04054050,190985,Peoria,AZ,Peoria city,Arizona,https://www.peoriaaz.gov/
G44059000,190934,Providence,RI,Providence city,Rhode Island,https://www.providenceri.gov/
G53074060,190915,Vancouver,WA,Vancouver city,Washington,https://www.cityofvancouver.us/
G47040000,190740,Knoxville,TN,Knoxville city,Tennessee,http://knoxvilletn.gov/
G39001000,190469,Akron,OH,Akron city,Ohio,https://www.akronohio.gov/
G22070000,187593,Shreveport,LA,Shreveport city,Louisiana,https://www.shreveportla.gov/
G01050000,187041,Mobile,AL,Mobile city,Alabama,https://www.cityofmobile.org/
G48010768,186738,Brownsville,TX,Brownsville city,Texas,https://www.cob.us/
G51056000,186247,Newport News,VA,Newport News city,Virginia,https://www.nnva.gov/
G12024000,182760,Fort Lauderdale,FL,Fort Lauderdale city,Florida,https://www.fortlauderdale.gov/
G47014000,181099,Chattanooga,TN,Chattanooga city,Tennessee,http://www.chattanooga.gov/
G04073000,180587,Tempe,AZ,Tempe city,Arizona,https://www.tempe.gov/
G17003012,180542,Aurora,IL,Aurora city,Illinois,https://www.aurora-il.org/
G06070098,178127,Santa Rosa,CA,Santa Rosa city,California,https://srcity.org/
G41023850,176654,Eugene,OR,Eugene city,Oregon,https://www.eugene-or.gov/
G06022020,176124,Elk Grove,CA,Elk Grove city,California,https://www.elkgrovecity.org/
G41064900,175535,Salem,OR,Salem city,Oregon,https://www.cityofsalem.net/
G06053896,175265,Ontario,CA,Ontario city,California,https://www.ontarioca.gov/
G37010740,174721,Cary,NC,Cary town,North Carolina,https://www.townofcary.org/
G06059451,174453,Rancho Cucamonga,CA,Rancho Cucamonga city,California,https://www.cityofrc.us/
G06053322,174068,Oceanside,CA,Oceanside city,California,https://www.ci.oceanside.ca.us/
G06040130,173516,Lancaster,CA,Lancaster city,California,https://www.cityoflancasterca.org/
G06029000,171949,Garden Grove,CA,Garden Grove city,California,https://ggcity.org/
G12055775,171178,Pembroke Pines,FL,Pembroke Pines city,Florida,https://www.ppines.com/
G08027425,169810,Fort Collins,CO,Fort Collins city,Colorado,https://www.fcgov.com/
G06055156,169450,Palmdale,CA,Palmdale city,California,https://www.cityofpalmdale.org/
G29070000,169176,Springfield,MO,Springfield city,Missouri,https://www.springfieldmo.gov/
G47015160,166722,Clarksville,TN,Clarksville city,Tennessee,https://www.cityofclarksville.com/
G06064224,163542,Salinas,CA,Salinas city,California,https://www.cityofsalinas.org/
G06033000,162954,Hayward,CA,Hayward city,California,https://www.hayward-ca.gov/
G34057000,159732,Paterson,NJ,Paterson city,New Jersey,https://www.patersonnj.gov/
G51001000,159467,Alexandria,VA,Alexandria city,Virginia,http://alexandriava.gov/
G13049008,157346,Macon-Bibb County,GA,Macon-Bibb County,Georgia,https://www.maconbibb.us/
G06016350,157136,Corona,CA,Corona city,California,https://www.coronaca.gov/
G20036000,156607,Kansas City,KS,Kansas City city,Kansas,https://www.wycokck.org/
G08043000,155984,Lakewood,CO,Lakewood city,Colorado,https://www.lakewood.org/
G25067000,155929,Springfield,MA,Springfield city,Massachusetts,https://www.springfield-ma.gov/
G06077000,155805,Sunnyvale,CA,Sunnyvale city,California,https://sunnyvale.ca.gov/
G28036000,153701,Jackson,MS,Jackson city,Mississippi,https://www.jacksonms.gov/
G48039148,153095,Killeen,TX,Killeen city,Texas,https://www.killeentexas.gov/
G12032000,153067,Hollywood,FL,Hollywood city,Florida,https://www.hollywoodfl.org/
G47051560,152769,Murfreesboro,TN,Murfreesboro city,Tennessee,https://www.murfreesborotn.gov/
G48056000,151950,Pasadena,TX,Pasadena city,Texas,https://www.pasadenatx.gov/
G53005210,151854,Bellevue,WA,Bellevue city,Washington,https://bellevuewa.gov/
G06058072,151713,Pomona,CA,Pomona city,California,https://www.ci.pomona.ca.us/
G06022804,151038,Escondido,CA,Escondido city,California,https://www.escondido.org/
G17038570,150362,Joliet,IL,Joliet city,Illinois,https://www.joliet.gov/
G45013330,150227,Charleston,SC,Charleston city,South Carolina,https://www.charleston-sc.gov/
G48047892,150108,Mesquite,TX,Mesquite city,Texas,https://www.cityofmesquite.com/
G17051622,149540,Naperville,IL,Naperville city,Illinois,https://www.naperville.il.us/
G17065000,148655,Rockford,IL,Rockford city,Illinois,https://rockfordil.gov/
G09008000,148654,Bridgeport,CT,Bridgeport city,Connecticut,https://www.bridgeportct.gov/
G36073000,148620,Syracuse,NY,Syracuse city,New York,http://www.syrgov.net/
G13069000,147780,Savannah,GA,Savannah city,Georgia,https://www.savannahga.gov/
G06062938,147773,Roseville,CA,Roseville city,California,https://www.roseville.ca.us/
G06080000,147067,Torrance,CA,Torrance city,California,https://www.torranceca.gov/
G06028000,143617,Fullerton,CA,Fullerton city,California,https://www.cityoffullerton.com/
G04071510,143148,Surprise,AZ,Surprise city,Arizona,https://www.surpriseaz.gov/
G48045384,142210,McAllen,TX,McAllen city,Texas,https://www.mcallen.net/
G08077290,141867,Thornton,CO,Thornton city,Colorado,https://www.thorntonco.gov/
G06082954,141384,Visalia,CA,Visalia city,California,https://www.visalia.city/
G20052575,141290,Olathe,KS,Olathe city,Kansas,https://www.olatheks.org/
G12025175,141085,Gainesville,FL,Gainesville city,Florida,https://www.cityofgainesville.org/
G49083470,140230,West Valley City,UT,West Valley City city,Utah,https://www.wvc-ut.gov/
G06053980,139911,Orange,CA,Orange city,California,https://cityoforange.org/
G48019972,139869,Denton,TX,Denton city,Texas,https://www.cityofdenton.com/
G26084000,139387,Warren,MI,Warren city,Michigan,https://www.cityofwarren.org/
G06056000,138699,Pasadena,CA,Pasadena city,California,https://www.cityofpasadena.net/
G48076000,138486,Waco,TX,Waco city,Texas,https://www.waco-texas.com/
G19012000,137710,Cedar Rapids,IA,Cedar Rapids city,Iowa,http://www.cedar-rapids.org/
G39021000,137644,Dayton,OH,Dayton city,Ohio,https://www.daytonohio.gov/
G34021000,137298,Elizabeth,NJ,Elizabeth city,New Jersey,https://www.elizabethnj.org/
G51035000,137148,Hampton,VA,Hampton city,Virginia,https://hampton.gov/
G45016000,136632,Columbia,SC,Columbia city,South Carolina,https://www.columbiasc.net/
G53035415,136588,Kent,WA,Kent city,Washington,https://www.kentwa.gov/
G09073000,135470,Stamford,CT,Stamford city,Connecticut,https://www.stamfordct.gov/
G06082590,134810,Victorville,CA,Victorville city,California,https://www.victorvilleca.gov/
G12045975,134721,Miramar,FL,Miramar city,Florida,https://www.miramarfl.gov/
G12014400,134394,Coral Springs,FL,Coral Springs city,Florida,https://www.coralsprings.org/
G26076460,134346,Sterling Heights,MI,Sterling Heights city,Michigan,https://www.sterling-heights.net/
G09052000,134023,New Haven,CT,New Haven city,Connecticut,https://www.newhavenct.gov/
G48013024,133434,Carrollton,TX,Carrollton city,Texas,https://www.cityofcarrollton.com/
G48048072,132524,Midland,TX,Midland city,Texas,https://www.midlandtexas.gov/
G40052500,128026,Norman,OK,Norman city,Oklahoma,https://www.normanok.gov/
G06069084,127647,Santa Clara,CA,Santa Clara city,California,https://www.santaclaraca.gov/
G13003440,127315,Athens-Clarke County unified government (balance),GA,Athens-Clarke County unified government (balance),Georgia,https://www.accgov.com/
G06078582,126966,Thousand Oaks,CA,Thousand Oaks city,California,https://www.toaks.org/
G20071000,126587,Topeka,KS,Topeka city,Kansas,https://www.topeka.org/
G06072016,126356,Simi Valley,CA,Simi Valley city,California,https://www.simivalley.org/
G29015670,126254,Columbia,MO,Columbia city,Missouri,https://www.como.gov/
G06081666,126090,Vallejo,CA,Vallejo city,California,https://www.cityofvallejo.net/
G38025700,125990,Fargo,ND,Fargo city,North Dakota,https://fargond.gov/
G42002000,125845,Allentown,PA,Allentown city,Pennsylvania,https://www.allentownpa.gov/
G48056348,125828,Pearland,TX,Pearland city,Texas,https://www.pearlandtx.gov/
G06016000,125410,Concord,CA,Concord city,California,https://www.cityofconcord.org/
G48001000,125182,Abilene,TX,Abilene city,Texas,https://abilenetx.gov/
G08003455,124402,Arvada,CO,Arvada city,Colorado,https://arvada.org/
G06006000,124321,Berkeley,CA,Berkeley city,California,https://www.cityofberkeley.info/
G26003000,123851,Ann Arbor,MI,Ann Arbor city,Michigan,https://www.a2gov.org/
G29035000,123011,Independence,MO,Independence city,Missouri,http://www.ci.independence.mo.us/
G27054880,121395,Rochester,MN,Rochester city,Minnesota,https://www.rochestermn.gov/
G22040735,121374,Lafayette,LA,Lafayette city,Louisiana,https://www.lafayettela.gov/
G09037000,121054,Hartford,CT,Hartford city,Connecticut,https://www.hartfordct.gov/
G48015976,120511,College Station,TX,College Station city,Texas,https://www.cstx.gov/
G06014218,120124,Clovis,CA,Clovis city,California,https://cityofclovis.com/
G06023182,119881,Fairfield,CA,Fairfield city,California,https://www.fairfield.ca.gov/
G12054000,119760,Palm Bay,FL,Palm Bay city,Florida,https://www.palmbayflorida.org/
G48061796,119469,Richardson,TX,Richardson city,Texas,https://www.cor.net/
G48063500,119468,Round Rock,TX,Round Rock city,Texas,https://www.roundrocktexas.gov/
G25011000,118403,Cambridge,MA,Cambridge city,Massachusetts,https://www.cambridgema.gov/
G16052120,117635,Meridian,ID,Meridian city,Idaho,https://meridiancity.org/
G12076600,117415,West Palm Beach,FL,West Palm Beach city,Florida,https://www.wpb.org/
G18022000,117298,Evansville,IN,Evansville city,Indiana,https://www.vanderburghgov.org/
G12012875,117292,Clearwater,FL,Clearwater city,Florida,https://www.myclearwater.com/
G30006550,117116,Billings,MT,Billings city,Montana,https://ci.billings.mt.us/
G49082950,116961,West Jordan,UT,West Jordan city,Utah,https://www.westjordan.utah.gov/
G06060620,116448,Richmond,CA,Richmond city,California,http://www.ci.richmond.ca.us/
G08083835,116317,Westminster,CO,Westminster city,Colorado,https://www.cityofwestminster.us/
G33045140,115644,Manchester,NH,Manchester city,New Hampshire,https://www.manchesternh.gov/
G25037000,115554,Lowell,MA,Lowell city,Massachusetts,https://www.lowellma.gov/
G37074440,115451,Wilmington,NC,Wilmington city,North Carolina,https://www.wilmingtonnc.gov/
G06002252,115291,Antioch,CA,Antioch city,California,https://www.antiochca.gov/
G48007000,115282,Beaumont,TX,Beaumont city,Texas,https://beaumonttexas.gov/
G49062470,115162,Provo,UT,Provo city,Utah,https://www.provo.org/
G45050875,114852,North Charleston,SC,North Charleston city,South Carolina,https://www.northcharleston.org/
G17023074,114797,Elgin,IL,Elgin city,Illinois,https://www.cityofelgin.org/
G06011194,114746,Carlsbad,CA,Carlsbad city,California,https://www.carlsbadca.gov/
G48053388,114428,Odessa,TX,Odessa city,Texas,https://www.odessa-tx.gov/
G09080000,114403,Waterbury,CT,Waterbury city,Connecticut,https://www.waterburyct.org/
G17072000,114394,Springfield,IL,Springfield city,Illinois,https://www.springfield.il.us/
G48041980,114392,League City,TX,League City city,Texas,https://www.leaguecity.com/
G06019766,114355,Downey,CA,Downey city,California,https://www.downeyca.org/
G41031250,114247,Gresham,OR,Gresham city,Oregon,https://greshamoregon.gov/
G37031400,114059,High Point,NC,High Point city,North Carolina,https://www.highpointnc.gov/
G40009050,113540,Broken Arrow,OK,Broken Arrow city,Oklahoma,https://www.brokenarrowok.gov/
G17059000,113150,Peoria,IL,Peoria city,Illinois,http://www.peoriagov.org/
G26046000,112644,Lansing,MI,Lansing city,Michigan,https://www.lansingmi.gov/
G12038250,112641,Lakeland,FL,Lakeland city,Florida,https://www.lakelandgov.net/
G12058050,112046,Pompano Beach,FL,Pompano Beach city,Florida,https://pompanobeachfl.gov/
G06016532,111918,Costa Mesa,CA,Costa Mesa city,California,https://www.costamesaca.gov/
G08062000,111876,Pueblo,CO,Pueblo city,Colorado,https://www.pueblo.us/
G48042508,111822,Lewisville,TX,Lewisville city,Texas,https://www.cityoflewisville.com/
G12045060,111640,Miami Gardens,FL,Miami Gardens city,Florida,https://www.miamigardens-fl.gov/
G35039380,111385,Las Cruces,NM,Las Cruces city,New Mexico,https://www.las-cruces.org/
G48070808,111026,Sugar Land,TX,Sugar Land city,Texas,https://www.sugarlandtx.gov/
G06050076,110949,Murrieta,CA,Murrieta city,California,https://www.murrietaca.gov/
G06065042,110763,San Buenaventura (Ventura),CA,San Buenaventura (Ventura) city,California,https://www.cityofventura.ca.gov/
G53022640,110629,Everett,WA,Everett city,Washington,https://everettwa.gov/
G06078120,110003,Temecula,CA,Temecula city,California,https://temeculaca.gov/
G26021000,109976,Dearborn,MI,Dearborn city,Michigan,https://cityofdearborn.org/
G06069196,109707,Santa Maria,CA,Santa Maria city,California,https://www.cityofsantamaria.org/
G06084200,109501,West Covina,CA,West Covina city,California,https://www.westcovina.org/
G06022230,109450,El Monte,CA,El Monte city,California,https://www.ci.el-monte.ca.us/
G08032155,108795,Greeley,CO,Greeley city,Colorado,https://greeleygov.com/
G32068400,108445,Sparks,NV,Sparks city,Nevada,https://cityofsparks.us/
G08012815,108418,Centennial,CO,Centennial city,Colorado,https://www.centennialco.gov/
G08007850,108250,Boulder,CO,Boulder city,Colorado,https://bouldercolorado.gov/
G13068516,108080,Sandy Springs,GA,Sandy Springs city,Georgia,https://www.sandyspringsga.gov/
G06036546,107762,Inglewood,CA,Inglewood city,California,https://www.cityofinglewood.org/
G13072122,107436,South Fulton,GA,South Fulton city,Georgia,https://www.cityofsouthfultonga.gov/
G55031000,107395,Green Bay,WI,Green Bay city,Wisconsin,https://greenbaywi.gov/
G06008954,107337,Burbank,CA,Burbank city,California,https://www.burbankca.gov/
G53057745,106785,Renton,WA,Renton city,Washington,https://rentonwa.gov/
G41034100,106447,Hillsboro,OR,Hillsboro city,Oregon,https://www.hillsboro-oregon.gov/
G06021712,106215,El Cajon,CA,El Cajon city,California,https://www.cityofelcajon.us/
G48074144,105995,Tyler,TX,Tyler city,Texas,https://www.cityoftyler.org/
G12016475,105691,Davie,FL,Davie town,Florida,https://www.davie-fl.gov/
G06068252,105661,San Mateo,CA,San Mateo city,California,https://www.cityofsanmateo.org/
G25009000,105643,Brockton,MA,Brockton city,Massachusetts,https://brockton.ma.us/
G37014100,105240,Concord,NC,Concord city,North Carolina,https://www.concordnc.gov/
G06037692,105053,Jurupa Valley,CA,Jurupa Valley city,California,https://www.jurupavalley.org/
G06017918,104901,Daly City,CA,Daly City city,California,https://www.dalycity.org/
G48001924,104627,Allen,TX,Allen city,Texas,https://www.cityofallen.org/
G35063460,104046,Rio Rancho,NM,Rio Rancho city,New Mexico,https://rrnm.gov/
G06060466,104026,Rialto,CA,Rialto city,California,https://www.yourrialto.com/
G18071000,103453,South Bend,IN,South Bend city,Indiana,https://www.southbendin.gov/
G53067167,102976,Spokane Valley,WA,Spokane Valley city,Washington,https://www.spokanevalley.org/
G06052526,102773,Norwalk,CA,Norwalk city,California,https://www.norwalk.org/
G06046842,102527,Menifee,CA,Menifee city,California,https://www.cityofmenifee.us/
G06081554,102386,Vacaville,CA,Vacaville city,California,https://www.ci.vacaville.ca.us/
G48079000,102316,Wichita Falls,TX,Wichita Falls city,Texas,https://www.wichitafallstx.gov/
G19019000,101724,Davenport,IA,Davenport city,Iowa,http://cityofdavenportiowa.com/
G25055745,101636,Quincy,MA,Quincy city,Massachusetts,https://www.quincyma.gov/
G06013014,101475,Chico,CA,Chico city,California,https://chico.ca.us/
G25037490,101253,Lynn,MA,Lynn city,Massachusetts,https://www.lynnma.gov/
G29041348,101108,Lee's Summit,MO,Lee's Summit city,Missouri,https://cityofls.net/
G25045000,101079,New Bedford,MA,New Bedford city,Massachusetts,https://www.newbedford-ma.gov/
G53023515,101030,Federal Way,WA,Federal Way city,Washington,https://www.cityoffederalway.com/
G48022660,100243,Edinburg,TX,Edinburg city,Texas,https://cityofedinburg.com/
G16056260,100200,Nampa,ID,Nampa city,Idaho,https://cityofnampa.us/
G51068000,100011,Roanoke,VA,Roanoke city,Virginia,https://www.roanokeva.gov/
G55039225,99986,Kenosha,WI,Kenosha city,Wisconsin,https://www.kenosha.org/
G48064472,99893,San Angelo,TX,San Angelo city,Texas,https://www.cosatx.us/
G06033434,99818,Hesperia,CA,Hesperia city,California,https://www.cityofhesperia.us/
G18010342,99757,Carmel,IN,Carmel city,Indiana,https://www.carmel.in.gov/
G01077256,99600,Tuscaloosa,AL,Tuscaloosa city,Alabama,https://www.tuscaloosa.com/
G36001000,99224,Albany,NY,Albany city,New York,https://albanyny.gov/
G41005800,99178,Bend,OR,Bend city,Oregon,https://www.bendoregon.gov/
G18023278,98977,Fishers,IN,Fishers city,Indiana,https://www.fishers.in.us/
G08045970,98885,Longmont,CO,Longmont city,Colorado,https://www.longmontcolorado.gov/
G06082996,98381,Vista,CA,Vista city,California,https://www.cityofvista.com/
G49057300,98129,Orem,UT,Orem city,Utah,https://orem.org/
G51064000,97915,Portsmouth,VA,Portsmouth city,Virginia,https://www.portsmouthva.gov/
G41005350,97494,Beaverton,OR,Beaverton city,Oregon,https://www.beavertonoregon.gov/
