GISJOIN,target
G06019766,"['SDG14_a', 'SDG8_b', 'SDG14_2', 'SDG6_4', 'SDG15_b', 'SDG8_5', 'SDG11_7', 'SDG6_3', 'SDG6_2', 'SDG3_8', 'SDG16_7', 'SDG16_b', 'SDG7_general', 'SDG4_1', 'SDG7_1', 'SDG11_6', 'SDG16_3', 'SDG1_2', 'SDG14_c', 'SDG16_1', 'SDG15_general', 'SDG6_b', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG4_general', 'SDG13_general', 'SDG16_2', 'SDG4_5', 'SDG7_2', 'SDG1_a', 'SDG13_3', 'SDG15_1', 'SDG3_6']"
G06019766,['SDG9_1']
G06019766,[]
G06019766,[]
G06019766,[]
G06019766,"['SDG1_4', 'SDG9_c', 'SDG7_2']"
G06019766,[]
G06019766,[]
G06019766,[]
G06019766,[]
G36057639,"['SDG17_19', 'SDG16_9', 'SDG4_a', 'SDG6_4', 'SDG3_general', 'SDG13_general', 'SDG3_7', 'SDG4_1', 'SDG11_6', 'SDG2_b', 'SDG16_general', 'SDG8_5', 'SDG3_6', 'SDG6_3']"
G36057639,"['SDG13_general', 'SDG13_2']"
